三胞胎              	N    	human|人,family|家,mass|众
三代人              	N    	human|人,family|家
嫂                  	N    	human|人,family|家,female|女
嫂夫人              	N    	human|人,family|家,female|女
嫂嫂                	N    	human|人,family|家,female|女
嫂子                	N    	human|人,family|家,female|女
少奶奶              	N    	human|人,family|家,female|女,adult|成
少爷                	N    	human|人,family|家,male|男,young|幼
舍亲                	N    	human|人,family|家
婶                  	N    	human|人,family|家,female|女
婶母                	N    	human|人,family|家,female|女
婶娘                	N    	human|人,family|家,female|女
生父                	N    	human|人,family|家,male|男
生母                	N    	human|人,family|家,female|女
生身父母            	N    	human|人,family|家
甥                  	N    	human|人,family|家,male|男
甥女                	N    	human|人,family|家,female|女
氏                  	N    	human|人,family|家
手足                	N    	human|人,family|家,mass|众,male|男
叔                  	N    	human|人,family|家,male|男
叔父                	N    	human|人,family|家,male|男
叔母                	N    	human|人,family|家,female|女
叔叔                	N    	human|人,family|家,male|男
叔祖                	N    	human|人,family|家,male|男
叔祖母              	N    	human|人,family|家,female|女
庶母                	N    	human|人,family|家,female|女
庶子                	N    	human|人,family|家,young|幼
双胞胎              	N    	human|人,family|家,mass|众
双亲                	N    	human|人,family|家,mass|众
双职工              	N    	human|人,employee|员,mass|众,family|家
私生子              	N    	human|人,family|家,young|幼
孙                  	N    	human|人,family|家,male|男
孙儿们              	N    	human|人,family|家,mass|众
孙女                	N    	human|人,family|家,female|女
孙子                	N    	human|人,family|家,male|男
泰山                	N    	human|人,family|家,male|男
太公                	N    	human|人,family|家,male|男
太婆                	N    	human|人,family|家,female|女
童养媳              	N    	human|人,family|家,female|女
外公                	N    	human|人,family|家,male|男
外婆                	N    	human|人,family|家,female|女
外戚                	N    	human|人,family|家,#royal|皇
外甥                	N    	human|人,family|家,male|男
外甥女              	N    	human|人,family|家,female|女
外孙                	N    	human|人,family|家,male|男
外孙女              	N    	human|人,family|家,female|女
外祖父              	N    	human|人,family|家,male|男
外祖母              	N    	human|人,family|家,female|女
晚娘                	N    	human|人,family|家,female|女
王室                	N    	human|人,royal|皇,family|家
媳                  	N    	human|人,family|家,female|女
媳妇                	N    	human|人,family|家,female|女
媳妇儿              	N    	human|人,family|家,female|女
小弟                	N    	human|人,family|家,male|男
小两口              	N    	human|人,intimate|亲,mass|众,family|家
小妹                	N    	human|人,family|家,female|女
小女                	N    	human|人,family|家,female|女
孝子                	N    	human|人,*loyal|忠孝,family|家,desired|良
孝子                	N    	human|人,desired|良,family|家,*condole|致哀
孝子贤孙            	N    	human|人,*loyal|忠孝,family|家,desired|良
新婚夫妇            	N    	human|人,family|家,mass|众,*GetMarried|结婚
兄                  	N    	human|人,family|家,male|男
兄长                	N    	human|人,family|家,male|男
兄弟                	N    	human|人,family|家,male|男
兄弟                	N    	human|人,family|家,mass|众,male|男
兄弟俩              	N    	human|人,family|家,mass|众,male|男
兄妹                	N    	human|人,family|家,mass|众
婿                  	N    	human|人,family|家,male|男
续弦                	N    	human|人,family|家,female|女
玄孙                	N    	human|人,family|家,female|女
养父                	N    	human|人,family|家,male|男
养父母              	N    	human|人,family|家
养母                	N    	human|人,family|家,female|女
养女                	N    	human|人,family|家,female|女,young|幼
养子                	N    	human|人,family|家,male|男,young|幼
爷                  	N    	human|人,family|家,male|男
爷们                	N    	human|人,family|家,male|男
爷爷                	N    	human|人,family|家,male|男
遗腹子              	N    	human|人,family|家,young|幼
遗孤                	N    	human|人,family|家,young|幼
姨                  	N    	human|人,family|家,female|女
姨表兄弟            	N    	human|人,family|家,mass|众,male|男
姨儿                	N    	human|人,family|家,female|女
姨夫                	N    	human|人,family|家,male|男
姨妈                	N    	human|人,family|家,female|女
姨母                	N    	human|人,family|家,female|女
姨太太              	N    	human|人,family|家,female|女
佣                  	N    	human|人,#family|家
佣工                	N    	human|人,#occupation|职位,#family|家
鸳鸯                	N    	human|人,family|家,mass|众
元配                	N    	human|人,family|家,female|女
原配                	N    	human|人,family|家,female|女
远亲                	N    	human|人,family|家
怨偶                	N    	human|人,family|家,mass|众,#unfortunate|不幸
岳                  	N    	human|人,family|家,male|男
岳父                	N    	human|人,family|家,male|男
岳母                	N    	human|人,family|家,female|女
